GEOID,positive,total,zcta_cum_perc_pos,pop_size,housing_total,housing_rental,rent_pct,hhsize_average,hhsize_rented,hhsize_owned,race_total,race_hisp,race_nhBlack,hispanic_pct,nhblack_pct,age65_total,male_65over,female_65over,age65_over_pct,Med_house_income,foodstamp_pct,unemployed_pct,uninsured_pct,case_rate
10304,482,899,53.62,42193,14438,7072,48.98185344230503,2.84,2.67,3.01,14438,2853,3900,19.76035461975343,27.012051530682918,42193,2079,3081,12.229516744483682,52199,25.762066045723962,4.207688222558112,8.987295232648393,1142.369587372313
10305,369,798,46.24,41749,15145,6131,40.482007263123144,2.71,2.37,2.94,15145,2103,552,13.885770881479036,3.644767249917465,41749,2246,3188,13.015880619895087,76489,12.753188297074269,4.325429891674873,6.768426634345882,883.8535054731849
10306,479,1069,44.81,55909,20856,6805,32.62850019179133,2.66,2.25,2.86,20856,1976,407,9.474491752972765,1.9514767932489452,55909,3425,5318,15.637911606360335,79569,9.176788124156547,2.86428179657505,6.124687671399841,856.7493605680659
10307,133,268,49.63,14096,4925,1435,29.13705583756345,2.86,2,3.21,4925,303,26,6.152284263959391,0.5279187817258884,14096,602,767,9.711975028376845,80893,3.4437335340609714,3.5218562253987984,6.4118500103584015,943.5300794551646
10308,248,556,44.6,27357,10142,2256,22.24413330704003,2.69,2.12,2.86,10142,642,35,6.330112403865115,0.34509958588049694,27357,1735,2339,14.891983770150235,93963,4.160405709992487,4.788930328090373,3.832225285119723,906.532148992945
10309,298,646,46.13,32519,10962,2797,25.515416894727238,2.87,2.06,3.15,10962,645,72,5.883962780514505,0.6568144499178982,32519,1477,1929,10.473876810480027,103175,5.730983949755757,2.124872653180032,3.4104691214282252,916.3873427842185
10310,206,429,48.02,24962,8361,3645,43.59526372443487,2.98,2.9,3.03,8361,1872,1718,22.38966630785791,20.54778136586533,24962,933,1453,9.558528964025319,72093,19.530313922837287,2.835725903401457,12.785517290149212,825.2543866677349
10312,558,1104,50.54,59304,21018,4284,20.382529260633742,2.82,2.05,3.01,21018,1337,160,6.361214197354649,0.7612522599676468,59304,3486,4295,13.120531498718469,95064,4.31671499392012,3.3430272062620605,3.3321555730709647,940.9146094698502
10314,839,1690,49.64,85510,30709,9578,31.189553551076234,2.74,2.35,2.92,30709,3188,1158,10.381321436712364,3.7708815005373015,85510,5244,7425,14.81581101625541,86742,7.716344620878771,3.13061329227611,5.958796143553649,981.1717927727751
10451,476,849,56.07,45713,17106,14704,85.9581433415176,2.66,2.76,2.03,17106,8996,7112,52.58973459604817,41.57605518531509,45713,1918,3535,11.928772996740534,28921,39.45510641635727,5.770296481019673,15.336658354114713,1041.2792859799183
10452,698,1107,63.05,75371,24796,24000,96.78980480722697,3,3,2.98,24796,15818,7908,63.792547185029846,31.89224068398129,75371,1994,3243,6.948295763622614,28277,47.27857306897344,6.848207637485373,17.202425273907032,926.0856297514961
10453,734,1194,61.47,78309,25307,24158,95.4597542182005,3.02,3.01,3.39,25307,15583,8788,61.575848579444425,34.725570000395145,78309,1878,3178,6.456473713110881,25275,52.703000073351426,7.940840938722295,14.514749022164278,937.3124417372204
10454,336,571,58.84,37337,11978,11323,94.53164134246119,3.03,3.01,3.5,11978,8623,2904,71.9903155785607,24.244448154950742,37337,1307,2071,9.047325709082143,21149,54.84164957849168,7.90219238983568,21.448807915268272,899.911615823446
10455,326,584,55.82,39665,12880,11932,92.63975155279503,2.99,2.96,3.3,12880,9455,3089,73.40838509316771,23.982919254658384,39665,1351,2127,8.768435648556663,26801,50.70481216582182,8.282279953470336,18.022489336952308,821.8832724064036
10456,741,1253,59.14,86547,28122,26432,93.99047009458786,2.98,2.98,3.08,28122,14907,12268,53.00832088756135,43.6242088044947,86547,2533,4180,7.756479138502778,27106,49.69779684148957,8.81712116952488,15.060092774810233,856.1821900239175
10457,644,1062,60.64,70496,22873,21271,92.99610894941634,2.97,2.96,3.2,22873,14105,7611,61.66659380055087,33.27504044069427,70496,2051,3253,7.5238311393554245,27420,50.98238207355688,8.222640989106953,16.64521763110723,913.5270086246029
10458,631,1114,56.64,79492,26201,24995,95.39712224724248,2.92,2.9,3.23,26201,15785,5861,60.24579214533796,22.369375214686464,79492,2078,3135,6.557892618125094,33932,46.796422549666445,9.357853710220608,17.234267983501724,793.7905701202636
10459,440,764,57.59,47308,15398,13735,89.19989609040135,2.99,2.95,3.26,15398,10528,4392,68.3725159111573,28.523184829198595,47308,1532,2425,8.364335841718102,27687,46.99059943840801,5.672818734917236,15.533122599503757,930.0752515430794
10460,467,831,56.2,57311,19512,17533,89.85752357523576,2.88,2.84,3.24,19512,12478,5842,63.950389503895046,29.940549405494053,57311,1789,3108,8.544607492453455,26866,50.320403071956164,10.276690734718624,13.451468886071764,814.852297115737
10461,653,1194,54.69,50502,19772,13716,69.37082743273317,2.44,2.3,2.77,19772,6841,1138,34.59943354238317,5.755613999595387,50502,2994,4587,15.011286681715575,56612,16.3153167432768,5.688888888888889,11.13015873015873,1293.018098293137
10462,765,1387,55.16,75784,29855,23328,78.13766538268297,2.53,2.47,2.74,29855,12795,8586,42.857142857142854,28.75900184223748,75784,3095,4700,10.285812308666738,52409,24.54050028771621,7.762694217523626,10.457712638154733,1009.4479045708857
10463,486,1089,44.63,67970,28408,19799,69.69515629400169,2.31,2.38,2.15,28408,11027,3629,38.8165305547733,12.77457054350887,67970,4339,7472,17.376783875239077,58551,20.75517746321735,5.873636650715379,8.237180265746836,715.0213329410034
10464,43,107,40.19,4534,2089,944,45.18908568693155,2.16,1.92,2.36,2089,277,56,13.259932982288175,2.680708472953566,4534,379,538,20.224966916629906,93365,10.987849973586899,5.1996985681989445,8.779201205727203,948.3899426554918
10465,552,1129,48.89,42230,15770,7542,47.824984147114776,2.57,2.39,2.73,15770,5151,1158,32.66328471781864,7.343056436271402,42230,2580,4063,15.730523324650722,74796,13.498812054520446,4.669332740872399,8.938754350884988,1307.1276343831398
10466,737,1265,58.26,67813,23318,15598,66.89252937644738,2.87,2.73,3.16,23318,4880,16288,20.92803842525088,69.85161677673901,67813,2836,4516,10.841579048265082,51477,27.830745865676683,7.19056974459725,12.45361274830823,1086.812263135387
10467,1142,1942,58.81,97060,35524,31129,87.62808242315054,2.68,2.65,2.89,35524,15833,12698,44.56986825807904,35.74484855309087,97060,3668,5983,9.943334020193696,37015,36.088424262223675,9.071782563974692,14.594956830720317,1176.5917988872864
10468,765,1174,65.16,76103,24909,22622,90.81857962985266,2.98,3.02,2.6,24909,16237,5569,65.18527439881167,22.357380866353527,76103,2402,4089,8.529230122334205,36046,41.6014883438378,7.799351422355404,18.363367677845737,1005.2166143253223
10469,925,1531,60.42,66631,22554,12570,55.73290768821495,2.84,2.68,3.05,22554,5196,12549,23.03804203245544,55.63979781856877,66631,3799,5737,14.31165673635395,63652,18.347438752783965,6.432984152565135,10.533619840630317,1388.2427098497697
10470,156,286,54.55,15293,6390,4341,67.93427230046947,2.38,2.25,2.66,6390,835,1872,13.067292644757433,29.295774647887324,15293,826,1370,14.359510887334073,57160,18.729427254772876,5.38603317632603,11.294286299406103,1020.074543908978
10471,183,440,41.59,22922,9305,4746,51.00483610961849,2.14,2.04,2.25,9305,1731,860,18.60290166577109,9.2423428264374,22922,1937,3439,23.45345083326062,85707,6.431728308909049,5.827005612413338,6.322218553978211,798.3596544804118
10472,582,926,62.85,66358,22002,18758,85.25588582856103,2.99,2.93,3.28,22002,13752,5866,62.50340878101991,26.661212617034813,66358,2489,3767,9.427650019590706,30977,41.028921277470644,7.234687981510016,21.439233436055467,877.0607914644805
10473,638,1101,57.95,58519,20571,15333,74.53696952019834,2.83,2.71,3.18,20571,11268,8192,54.7761411696077,39.82305186913616,58519,2520,4449,11.90895264785796,41638,30.82875567231908,6.199021207177815,9.751364122180345,1090.244194193339
10474,97,157,61.78,12281,3633,3341,91.96256537296999,3.12,3.12,3.11,3633,2573,963,70.82301128543904,26.507018992568128,12281,290,460,6.106994544418207,25493,48.36582568807339,6.765724177726486,20.52798615118292,789.8379610780881
10475,520,887,58.62,40931,18534,9693,52.29847847199741,2.15,2.16,2.14,18534,4553,11214,24.565663105643683,60.505017805114925,40931,2966,5794,21.401871442183186,50832,14.222506530198839,5.7313555830243095,7.548413679439638,1270.430724878454
11429,381,542,70.3,25105,7290,2383,32.688614540466396,3.42,2.96,3.65,7290,809,5755,11.097393689986284,78.9437585733882,25105,1273,2086,13.379804819757021,83240,14.359673024523161,10.916267268113899,8.40710459543276,1517.6259709221272
11004,239,367,65.12,14016,4975,1334,26.814070351758794,2.58,2.1,2.75,4975,452,245,9.085427135678392,4.924623115577889,14016,1156,1839,21.36843607305936,92657,4.383932020084975,2.829478214093599,4.131253362022592,1705.1940639269405
11101,258,520,49.62,25484,10429,8849,84.84993767379423,2.38,2.4,2.22,10429,2940,1884,28.19062230319302,18.0650110269441,25484,919,1390,9.060587035002355,65392,17.943655554711825,6.126731011330256,7.422949596680188,1012.3999372155077
11102,214,404,52.97,34133,14083,12028,85.4079386494355,2.4,2.38,2.51,14083,3302,1108,23.44670879784137,7.867641837676631,34133,1334,2184,10.306741276770282,64067,14.466034271725825,4.310576836817081,13.259172871624653,626.9592476489028
11103,190,350,54.29,38780,16890,14358,85.0088809946714,2.29,2.24,2.58,16890,3242,269,19.194789816459444,1.5926583777383065,38780,1627,2307,10.144404332129964,71437,6.3006702840727735,5.435098952270081,14.04976717112922,489.9432697266632
11104,178,308,57.79,27232,11831,9835,83.12906770349083,2.3,2.28,2.4,11831,2850,220,24.089257036598767,1.859521595807624,27232,1211,1943,11.581962397179788,61269,7.513555383423702,4.517033203967228,17.674644243208277,653.6427732079907
11105,186,377,49.34,36688,16120,11959,74.18734491315136,2.27,2.17,2.57,16120,2588,286,16.054590570719604,1.7741935483870968,36688,2066,2931,13.620257304840818,73959,8.97611143656838,3.730623748423941,11.054661425498777,506.9777583951156
